,Price,City,Zipcode,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,Status
0,554217,3,65383,0,1,3,772,4757,1959,101,4,0
1,164454,0,79339,2,1,1,2348,3615,1969,46,0,2
2,1249331,2,87393,4,6,1,3630,9369,1990,59,4,0
3,189267,0,38666,4,2,1,605,8804,1958,119,0,1
4,465778,1,23989,0,3,2,1711,9260,2020,26,4,1
5,738357,2,71318,3,5,3,1177,8317,2015,35,2,1
6,1325395,2,57421,3,6,1,1990,5592,2012,94,4,1
7,1158003,3,64361,2,2,2,1008,6010,1975,75,4,0
8,240095,4,13227,1,6,2,929,5449,1975,79,4,1
9,1356448,3,57397,3,2,3,2094,2179,1970,111,2,1
10,678604,3,70072,1,3,3,2350,3341,2013,25,2,1
11,1264926,0,57401,0,3,1,2407,2609,1989,79,0,2
12,645962,1,91395,0,4,3,2746,8256,2008,11,1,1
13,575637,2,28568,3,1,4,3387,1740,1966,97,1,1
14,507793,0,29191,0,5,4,3480,2022,2007,66,2,2
15,1171629,2,63853,4,2,4,2351,2275,2007,46,1,0
16,698570,2,57513,0,3,2,722,6443,1953,72,0,2
17,534688,4,17359,4,3,1,2356,3883,1958,114,4,1
18,1108288,1,11690,3,6,3,1156,1218,1958,28,1,2
19,1173697,1,97442,4,2,4,1554,9408,1982,1,2,1
20,980716,1,12888,2,2,2,982,7527,1983,58,2,2
21,527238,1,63443,3,4,4,3164,9694,1955,33,1,1
22,1469257,0,38811,2,5,3,635,1130,1990,42,2,1
23,1381949,4,33081,4,4,4,2966,2421,1997,38,3,2
24,898597,2,16851,1,6,3,3814,2093,1957,71,1,2
25,1335481,1,31581,2,2,4,1583,6306,1979,30,0,0
26,1444036,3,73665,0,6,3,743,8853,2018,50,4,2
27,831525,2,45375,0,4,3,1165,3128,1954,57,4,0
28,911317,1,25618,3,3,2,908,1492,1963,42,0,2
29,858386,4,11309,1,2,2,1475,1926,1983,102,2,2
30,705506,2,74703,0,6,1,3892,4133,1985,113,4,1
31,1461297,3,19858,3,1,3,3156,2935,1961,61,0,2
32,630339,3,93752,2,1,4,1752,3040,1993,61,3,0
33,268142,1,61325,0,6,4,3778,3988,2012,8,3,0
34,1250016,4,44242,3,3,4,3551,1230,1961,58,2,0
35,1231600,3,65902,0,1,3,3640,9593,2008,108,3,2
36,1073723,3,70313,3,6,1,1396,7815,1989,88,0,0
37,1353530,1,59381,1,2,4,3442,3651,1952,108,2,1
38,272592,3,22610,0,3,3,3641,9671,1988,115,4,0
39,1401287,1,89328,3,5,4,824,5426,2008,64,0,0
40,255138,3,57088,1,4,4,3704,2027,1960,84,1,0
41,235690,4,35239,1,4,2,3150,8121,1968,60,4,0
42,1286157,3,66947,0,2,1,1130,9652,2008,15,0,1
43,1197675,2,70379,0,4,1,2418,4843,1978,103,0,0
44,130113,3,37297,2,6,1,641,6571,1998,23,2,1
45,327247,4,71862,1,6,4,692,8938,1996,90,1,1
46,1253172,2,54468,3,2,2,1718,4766,1993,95,4,0
47,947261,3,40064,0,3,1,1515,1817,2013,3,1,2
48,928085,2,54502,1,2,3,3201,6981,2014,63,2,1
49,1075059,0,26896,0,4,2,806,5870,1990,22,0,1
50,704012,4,39228,4,2,2,2192,2491,2022,82,2,0
51,894851,1,25964,3,1,1,2983,6389,1975,89,3,0
52,1062706,3,61792,1,2,4,1143,3561,2006,28,2,1
53,1293272,3,91305,4,1,3,1004,4822,1982,28,0,1
54,121941,3,79089,2,4,1,1266,6554,1961,45,4,0
55,1054157,1,69291,0,3,2,3080,2905,1981,2,0,0
56,1064596,4,88366,1,5,1,2383,7954,1995,73,1,2
57,1301207,2,97624,4,5,4,659,9317,1985,46,3,0
58,1429718,4,87038,1,1,4,3082,4211,1974,55,3,0
59,570284,2,71760,0,1,1,2654,1426,1990,57,1,2
60,136498,1,60339,0,5,4,3410,4595,1988,71,4,1
61,1118129,3,47852,0,4,1,3593,8559,2006,51,3,1
62,348881,1,20582,3,5,1,3368,1942,1954,81,2,1
63,1224280,3,87797,0,3,3,1071,3640,1965,95,1,0
64,435555,1,17654,1,2,2,2403,8914,1955,18,1,1
65,1142134,1,76220,3,2,3,3515,6385,2018,49,2,1
66,929862,2,27909,3,3,1,1640,2571,1950,58,2,2
67,557894,0,52141,2,5,1,2551,3014,2006,76,4,2
68,282593,4,99388,4,6,2,2153,6999,1977,31,3,2
69,390371,2,74756,3,5,4,3539,9313,1985,47,2,1
70,1103898,2,36251,4,2,1,1088,4186,1983,58,2,2
71,324492,0,78532,1,2,1,3618,4317,1998,116,0,2
72,442170,4,63085,0,6,4,1647,6299,2008,52,0,2
73,1081035,1,23864,3,5,4,2892,8833,2002,52,2,0
74,249975,0,21440,4,5,1,2625,5667,1968,96,4,2
75,754480,3,83545,2,1,4,2042,4863,1958,120,2,1
76,362957,1,39506,2,5,2,3482,1702,2011,92,0,2
77,1387573,3,98587,2,3,4,1949,5913,1975,84,3,1
78,1257567,0,66989,2,2,1,3887,8829,1957,43,1,2
79,1217931,3,55101,2,1,3,2977,3400,2004,62,2,0
80,1369617,3,35654,1,4,3,2199,3140,1974,64,0,1
81,1367380,1,28260,1,6,2,2960,8344,2011,33,2,2
82,653513,4,24367,0,3,2,862,6303,1972,64,2,1
83,1052313,2,37372,2,1,4,2552,4272,1998,81,3,2
84,1402065,0,10445,3,6,1,3504,3470,1952,45,4,2
